"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0496","XCAX","Huang_CO10_1","TB_setaria_12_0496","39.18005","-108.2790667","Diversity","TB_0496","XCAX_XCAX_XCAX_XCAX",0.4
"TB_setaria_12_0508","XCCS","Huang_TX06_1","TB_setaria_12_0508","35.5323","-101.0826833","Diversity","TB_0508","XCCS_XCCS_XCCS_XCCS",0.85
"TB_setaria_12_0511","XCCB","Huang_OK01_3","TB_setaria_12_0511","36.15013333","-99.29741667","Diversity","TB_0511","XCCB_XCCB_XCCB_XCCB",0.2
"TB_setaria_12_0512","XCCA","Huang_OK02_3","TB_setaria_12_0512","36.27375","-99.3364","Diversity","TB_0512","XCCA_XCCA_XCCA_XCCA",0.75
"TB_setaria_12_0513","XCCC","Huang_OK03_1","TB_setaria_12_0513","36.43423333","-99.2065","Diversity","TB_0513","XCCC_XCCC_XCCC_XCCC",0.45
"TB_setaria_12_0530","AGTTC","Agnes_95.79","TB_setaria_12_0530","#N/A","#N/A","Diversity","TB_0530","AGTTC_AGTTC_AGTTC_AGTTC",0.75
"TB_setaria_12_0531","AGTTG","Agnes_96.79","TB_setaria_12_0531","#N/A","#N/A","Diversity","TB_0531","AGTTG_AGTTG_AGTTG_AGTTG",0.7
"TB_setaria_12_0534","AGYWN","Huang_VT-03-1","TB_setaria_12_0534","44.479131","-73.211135","Diversity","TB_0534","AGYWN_AGYWN_AGYWN_AGYWN",0.35
"TB_setaria_12_0544","AGYOP","12_0544","TB_setaria_12_0544","40.822207","-96.928115","Diversity","TB_0544","AGYOP_AGYOP_AGYOP_AGYOP",0.55
"TB_setaria_12_0546","AGYOS","12_0546","TB_setaria_12_0546","40.825496","-97.882997","Diversity","TB_0546","AGYOS_AGYOS_AGYOS_AGYOS",0.55
"TB_setaria_12_0549","AGYOU","12_0549","TB_setaria_12_0549","40.691555","-99.379261","Diversity","TB_0549","AGYOU_AGYOU_AGYOU_AGYOU",0.95
"TB_setaria_12_0550","AGYOW","12_0550","TB_setaria_12_0550","40.782704","-99.844425","Diversity","TB_0550","AGYOW_AGYOW_AGYOW_AGYOW",0.75
"TB_setaria_12_0551","AGYOX","12_0551","TB_setaria_12_0551","41.004507","-100.375773","Diversity","TB_0551","AGYOX_AGYOX_AGYOX_AGYOX",0.85
"TB_setaria_12_0554","AGYOZ","12_0554","TB_setaria_12_0554","41.118807","-101.574372","Diversity","TB_0554","AGYOZ_AGYOZ_AGYOZ_AGYOZ",0.45
"TB_setaria_12_0555","AGYPA","12_0555","TB_setaria_12_0555","41.050248","-102.069535","Diversity","TB_0555","AGYPA_AGYPA_AGYPA_AGYPA",0.6
"TB_setaria_12_0558","AGYPC","12_0558","TB_setaria_12_0558","41.221852","-103.49021","Diversity","TB_0558","AGYPC_AGYPC_AGYPC_AGYPC",0.9
"TB_setaria_12_0559","AGYPG","12_0559","TB_setaria_12_0559","41.184331","-104.042706","Diversity","TB_0559","AGYPG_AGYPG_AGYPG_AGYPG",0.1
"TB_setaria_12_0560","AGYPH","12_0560","TB_setaria_12_0560","41.129762","-104.824411","Diversity","TB_0560","AGYPH_AGYPH_AGYPH_AGYPH",0.55
"TB_setaria_12_0564","AGYPO","12_0564","TB_setaria_12_0564","40.462036","-109.534309","Diversity","TB_0564","AGYPO_AGYPO_AGYPO_AGYPO",0.95
"TB_setaria_12_0569","AGYPU","12_0569","TB_setaria_12_0569","39.592788","-107.767971","Diversity","TB_0569","AGYPU_AGYPU_AGYPU_AGYPU",0.15
"TB_setaria_12_0577","ACPBS","PH_2014_43","TB_setaria_12_0577","37.283112","-109.551803","Diversity","TB_0577","ACPBS_ACPBS_ACPBS_ACPBS",0.55
"TB_setaria_12_0580","AGYSB","12_0580","TB_setaria_12_0580","37.723846","-113.058836","Diversity","TB_0580","AGYSB_AGYSB_AGYSB_AGYSB",0.8
"TB_setaria_12_0582","AGYSG","12_0582","TB_setaria_12_0582","38.251452","-112.646696","Diversity","TB_0582","AGYSG_AGYSG_AGYSG_AGYSG",0.75
"TB_setaria_12_0586","AGYSH","12_0586","TB_setaria_12_0586","39.977355","-111.769355","Diversity","TB_0586","AGYSH_AGYSH_AGYSH_AGYSH",0.75
"TB_setaria_12_0590","AGYSN","12_0590","TB_setaria_12_0590","38.995209","-110.160661","Diversity","TB_0590","AGYSN_AGYSN_AGYSN_AGYSN",0.75
"TB_setaria_12_0593","AGYSP","12_0593","TB_setaria_12_0593","38.762585","-108.091005","Diversity","TB_0593","AGYSP_AGYSP_AGYSP_AGYSP",0.8
"TB_setaria_12_0594","AGYSS","12_0594","TB_setaria_12_0594","38.800446","-107.78147","Diversity","TB_0594","AGYSS_AGYSS_AGYSS_AGYSS",0.8
"TB_setaria_12_0597","AGYST","12_0597","TB_setaria_12_0597","39.407617","-107.153298","Diversity","TB_0597","AGYST_AGYST_AGYST_AGYST",0.45
"TB_setaria_12_0604","ACPCN","PH_2014_70","TB_setaria_12_0604","37.402171","-104.650687","Diversity","TB_0604","ACPCN_ACPCN_ACPCN_ACPCN",0.9
"TB_setaria_12_0605","AGYSX","12_0605","TB_setaria_12_0605","37.137695","-104.521004","Diversity","TB_0605","AGYSX_AGYSX_AGYSX_AGYSX",0.85
"TB_setaria_12_0606","AGYSY","12_0606","TB_setaria_12_0606","36.784284","-104.466169","Diversity","TB_0606","AGYSY_AGYSY_AGYSY_AGYSY",0.8
"TB_setaria_12_0610","AGYSZ","12_0610","TB_setaria_12_0610","35.808758","-104.981085","Diversity","TB_0610","AGYSZ_AGYSZ_AGYSZ_AGYSZ",0.65
